use,year_built,heated_sqft,site_address,municipality,owner,owner_addr1,owner_addr2,owner_citystatezip,tax_value,parcel
OFFICE,2003,4360,1100 PROFESSIONAL DR,GREENVILLE,CEM PROPERTIES LLC,912 NOTTINGHAM RD,,GREENVILLE  NC 27858,545867.0,62987
DAYCRCNTR,1988,4359,615 COUNTRY CLUB DR,GREENVILLE,MMT MANAGEMENT LLC,740 SE GREENVILLE BLVD,SUITE 400-252,GREENVILLE  NC 27858,521035.0,45517
OFCCONDO,1999,4299,1696 E ARLINGTON BV,GREENVILLE,CAWG PROPERTIES LLC,1696 E ARLINGTON BLVD,,GREENVILLE  NC 27858,569538.0,54168
OTHERMUNICP,1991,4296,2770 THOMPSON ST,SIMPSON,SIMPSON VILLAGE OF,PO BOX 10,,SIMPSON  NC 27879,403478.0,06688
OFFICE,2001,4294,2404 WINTERVILLAGE DR,WINTERVILLE,ANIMAL CARE EAST HOLDINGS LLC,624 MCMILLAN LN,,GREENVILLE  NC 27834,569829.0,24070
MEDCONDO,1987,4280,2245 O STANTONSBURG RD,GREENVILLE,EMERALD PROPERTY MANAGEMENT LLC,2470 EMERALD PL SUITE C,,GREENVILLE  NC 27834,531234.0,50532
OFFICE,1985,4273,211 W FOURTEENTH ST,GREENVILLE,EKG PROPERTIES LLC,3936 DUNHAGAN RD,,GREENVILLE  NC 27858,474727.0,82873
OFFICE,1994,4262,614 COUNTRY CLUB DR,GREENVILLE,HWH PARTNERSHIP,2117 ROYAL DR,,WINTERVILLE  NC 28590,457653.0,50904
OFCCONDO,2005,4260,2790 A DICKINSON AVENUE EX,GREENVILLE,LIDO PROPERTIES LLC,PO BOX 542,,VANCEBORO  NC 28586,491651.0,67174
OFFICE,1975,4258,122 W ANDREWS ST,BETHEL,ADAMS KEVIN G,PO BOX 148,,BETHEL  NC 27812,209454.0,01670
OFFICE,1978,4258,131 OAKMONT DR,GREENVILLE,UNITARIAN UNIVERSALIST CONGREGATION OF GREENVILLE NC INC THE,131 OAKMONT DR,,GREENVILLE  NC 27858,333836.0,30511
MEDBLDG,1977,4254,110 OAKMONT DR,GREENVILLE,EVANS & LEE PROPERTIES LLC,110 OAKMONT DR,,GREENVILLE  NC 27858,483372.0,28194
MEDBLDG,1989,4254,2200 BEASLEY DR,GREENVILLE,PITT COUNTY MEMORIAL HOSPITAL INC DBA VIDANT MEDICAL CENTER,2100 STANTONSBURG RD,,GREENVILLE  NC 27834,525473.0,47847
MEDBLDG,2002,4246,304 MCCRAE ST,GRIFTON,QUADRANGLE PROPERTIES III LLC,1850 W ARLINGTON BLVD,,GREENVILLE  NC 27834,386733.0,04954
OFCCONDO,1984,4243,202 W E ARLINGTON BV,GREENVILLE,M & B RE HOLDINGS LLC,202 E ALINGTON BLVD STE W,,GREENVILLE  NC 27858,507199.0,41407
OFFICE,1977,4230,201 E ARLINGTON BV,GREENVILLE,MCLAWHORN LEON DAIL,LING TSIN YUEN JEANNE,4079 NC 903 HY S,WINTERVILLE  NC 28590,607789.0,32083
OFFICE,1997,4210,104 C E VICTORIA CT,GREENVILLE,CONNEELY JANE DAUGHETY TRUSTEE JANE DAUGHETY CONNEELY REVO TRUST,210 A RESERVE GREEN DR,,MOREHEAD CITY  NC 28557,542711.0,55696
HOMEFOR-AGED,2000,4191,3607 SOUTH PITT ST,FARMVILLE,MID EAST DEVELOPMENT CORP,PO BOX 25088,,WINSTON SALEM  NC 27114,568152.0,57821
OFFICE,1984,4142,325 CLIFTON ST,GREENVILLE,CLIFTON STREET HOLDINGS LLC,102 CRESTLINE PL,,GREENVILLE  NC 27834,356288.0,40505
DAYCRCNTR,1995,4120,208 LAURIE ELLIS RD,WINTERVILLE,HARRELL WILLIAM DAVID,HARRELL CAROLYN,5838 REEDY BRANCH RD,AYDEN  NC 28513,270890.0,54695
MEDBLDG,1999,4112,1909 TURNBURY DR,GREENVILLE,MCCALL G GIBSON III AKA GLENN G MCCALL III,MCCALL EMILIA T,209 STEWARD LN,GREENVILLE  NC 27858,884771.0,59303
OFFICE,1976,4060,9571 WEST MARLBORO RD,FARMVILLE,FARRIOR & SONS INC,PO BOX 127,,FARMVILLE  NC 27828,210722.0,32544
OFCCONDO,1996,4024,502 A RED BANKS RD,GREENVILLE,MCCARTHY TIMOTHY A,MCCARTHY NATALIE B,1205 TRAFALGAR RD,WINTERVILLE  NC 28590,527115.0,55474
OFFICE,1979,4004,200 W THIRD ST,GREENVILLE,HOWARD ROBERT KEVIN,100 E BERKSHIRE RD,,GREENVILLE  NC 27858,457053.0,20271
DAYCRCNTR,1991,4000,2665 VIRGINIA ST,SIMPSON,PHILLIPPI MISSIONARY CHURCH,PO BOX 124,,SIMPSON  NC 27879,169107.0,48347
OFFICE,1984,4000,3204 BISMARCK ST,GREENVILLE,PLAINS COASTAL PROPERTIES LLC,3204 BISMARK ST,,GREENVILLE  NC 27858,408059.0,12920
FIRE-STATION,2000,4000,9521 COUNTY HOME RD,,GARDNERVILLE VOLUNTEER FIRE DEPT,PO BOX 4443,,GREENVILLE  NC 27836,340665.0,60883
