use,year_built,heated_sqft,site_address,municipality,owner,owner_addr1,owner_addr2,owner_citystatezip,tax_value,parcel
MEDCONDO,1994,10746,2305 EXECUTIVE CI,GREENVILLE,W J ROBERSON RENTALS LLC,7920 LONGLEAF BRANCH CT,,RALEIGH  NC 27612,1523247.0,43467
MEDBLDG,1995,10640,503 BOWMAN GRAY DR,GREENVILLE,GRACE PROPERTIES OF CSA LLC,ANDREWS JOHN R B,815 4 MARLOWE RD,RALEIGH  NC 27609,1921620.0,34397
MEDBLDG,1984,10639,2577 STANTONSBURG RD,GREENVILLE,GREENVILLE OB GYN PROPERTIES LLC,101 BETHESDA DR,,GREENVILLE  NC 27834,1466297.0,34363
OFFICE,1996,10584,2002 VENTURE TOWER DR,GREENVILLE,PITT COUNTY MEMORIAL HOSPITAL INC,PO BOX 6028,,GREENVILLE  NC 27835,3148218.0,42967
MEDBLDG,1977,10578,5 MEDICAL DR,GREENVILLE,PCMH MANAGEMENT INC,PO BOX 6028,,GREENVILLE  NC 27835,1289777.0,32112
OFCCONDO,2001,10572,925 A CONFERENCE DR,GREENVILLE,ACES FOR AUTISM,535 CEDAR RIDGE DR,,WINTERVILLE  NC 28590,1243112.0,74103
MEDBLDG,2005,10567,2465 EMERALD PL,GREENVILLE,CCI GREENVILLE LLC,8902 N MERIDIAN ST STE 205,,INDIANAPOLIS  IN 46260,1829674.0,67167
OFFICE,1986,10530,1530 EVANS ST,GREENVILLE,MOORE HAMILTON D JR,PO BOX 9060,,ROCKY MOUNT  NC 27804,521733.0,06416
OTHERMUNICP,2004,10500,1000 MUMFORD RD,GREENVILLE,GREENVILLE CITY OF,PO BOX 7207,,GREENVILLE  NC 27835,2663120.0,28893
OFFICE,1989,10450,150 E FIRE TOWER RD,GREENVILLE,CAROLINA PENN INVESTMENT GROUP LLC,401 W 1ST ST,,GREENVILLE  NC 27834,819353.0,38102
OFFICE,1989,10385,2221 STANTONSBURG RD,GREENVILLE,BMR HOLDINGS LLC,PO BOX 483,,GREENVILLE  NC 27835,848829.0,47263
MEDBLDG,1992,10245,702 W H SMITH BV,GREENVILLE,WILLIAMS INVESTMENT PROPERTIES LLC,100 OAKMONT DR UNIT B,,GREENVILLE  NC 27858,1493392.0,50267
MEDBLDG,1992,10231,700 W H SMITH BV,GREENVILLE,4CW LLC,1397 WHICHARDS BEACH RD,,CHOCOWINITY  NC 27817,1588480.0,41657
OFFICE,1993,10229,112 STATON RD,,EHJ PROPERTIES LLC,PO BOX 856,,GREENVILLE  NC 27835,1069332.0,51574
OFFICE,1988,10156,1230 L T HARDEE RD,,EVERETT RAYMOND M,EVERETT SUSAN H,5066 EASTERN PINES RD,GREENVILLE  NC 27858,821583.0,65114
MEDBLDG,1995,10146,400 SPRING FOREST RD,GREENVILLE,SKGPS LLC,21 INKBERRY ST,,EAST HAMPTON  NY 11937,2053471.0,59386
CHURCHES,1990,10122,2700 . E FOURTH ST,GREENVILLE,SAINT PETER CATHOLIC PARISH OF GREENVILLE,2700 E FOURTH ST,,GREENVILLE  NC 27858,1319110.0,26979
OFFICE,1978,10106,400 N MEMORIAL DR,GREENVILLE,SHEPHERD MANAGEMENT LLC,400 N MEMORIAL DR,,GREENVILLE  NC 27834,498307.0,40682
OFFICE,2004,10060,1655 E ARLINGTON BV,GREENVILLE,WEST LAKE PROPERTY MANAGEMENT LLC,5633 OBSERVATION LN,,LOS ANGELES  CA 90028,1796792.0,60881
BANKS,1985,10000,611 E ARLINGTON BV,GREENVILLE,BIRDNECK POINT LLC,PO BOX 850,,AURORA  OH 44202,1919118.0,40004
OFFICE,2000,10000,2010 ALLEN RD,GREENVILLE,PITT COUNTY BOARD OF EDUCATION,1717 W FIFTH ST,,GREENVILLE  NC 27834,1109197.0,85636
OFFICE,1998,9988,1905 TURNBURY DR,GREENVILLE,GSE HOLDINGS LLC,1905 TURNBURY DR,,GREENVILLE  NC 27858,1459552.0,58765
MEDCONDO,2002,9986,2470 EMERALD PL,GREENVILLE,C&E REAL ESTATE LLC,2202 TAR RIVER RD,,CREEDMOOR  NC 27522,1593078.0,63168
BANKS,1998,9971,1005 RED BANKS RD,GREENVILLE,FIRST CITIZENS BANK & TRUST CO,PO BOX 27131,,RALEIGH  NC 27611,2758674.0,57527
PUBLICSCHL,2004,9968,0 HOOKER RD,GREENVILLE,PITT COUNTY,1717 W FIFTH ST,,GREENVILLE  NC 27834,2597560.0,07281
OTHERMUNICP,2005,9960,3620 WEST AV,FALKLAND,FALKLAND VOLUNTEER FIRE DEPT INC,3620 WEST AV,,FALKLAND  NC 27827,1102992.0,70161
OFFICE,1991,9944,102 FOX HAVEN DR,GREENVILLE,COLLICE & ANN MOORE LLC,4300 SAPPHIRE CT SUITE 116,,GREENVILLE  NC 27834,733100.0,29094
MEDBLDG,2005,9839,1310 W ARLINGTON BV,GREENVILLE,LAZE PROPERTIES LLC,PO BOX 2230,,ANGIER  NC 27501,1326873.0,60945
MEDBLDG,1977,9832,8 MEDICAL DR,GREENVILLE,PCMH MANAGEMENT INC,PO BOX 6028,,GREENVILLE  NC 27835,1208748.0,32115
OFFICE,1997,9801,101 FOX HAVEN DR,GREENVILLE,BLACK ARROW FINANCIAL GROUP LLC,905B CONFERENCE DR,,GREENVILLE  NC 27858,1128804.0,48004
OFFICE,1998,9759,190 PLAZA DR,GREENVILLE,MORGAN GARY S,509 WALKENS WOODS LN,,JACKSONVILLE  NC 28546,1660771.0,56189
CHURCHES,2002,9678,407 NC 903 N,,TRUTH TEMPLE CHURCH OF GOD IN CHRIST INC,PO BOX 8587,,GREENVILLE  NC 27835,1171794.0,23943
OFFICE,1997,9620,1202 E FIRE TOWER RD,GREENVILLE,SHIV AND RAJ LLC,813 EVANS ST,,GREENVILLE  NC 27834,1159459.0,57988
OFFICE,2004,9584,625 LYNNDALE CT,GREENVILLE,PERRYS 1 LLC,PO BOX 1475,,KINSTON  NC 28503,1203600.0,61486
CHURCHES,1990,9546,4329 ANDERSON AV,FARMVILLE,MT MORIAH COMMUNITY CHURCH,PO BOX 367,,FARMVILLE  NC 27828,876388.0,41714
OTHERMUNICP,1977,9407,2884 CHINQUAPIN RD,,FARMVILLE TOWN OF,PO BOX 86,,FARMVILLE  NC 27828,2540077.0,27266
HOMEFOR-AGED,1987,9346,2701 W FIFTH ST,GREENVILLE,WOODARD CHARLES D,WOODARD PHYLLIS G,PO BOX 1636,GOLDSBORO  NC 27533,1261243.0,44869
OTHERMUNICP,1985,9304,5864 US 264 E,,PACTOLUS RURAL FIRE DEPT INC,5858 US 264 EAST,,GREENVILLE  NC 27834,676225.0,37390
CHURCHES,2001,9282,7874 US 264 E,,TRIUMPH MISSIONARY BAPTIST CH,7874 US 264,,GREENVILLE  NC 27834,1181643.0,27131
OTHERMUNICP,1987,9247,2400 CHARLES BV,GREENVILLE,GREENVILLE CITY OF,PO BOX 7207,,GREENVILLE  NC 27835,1756388.0,33085
MEDBLDG,1979,9240,4 MEDICAL DR,GREENVILLE,PCMH MANAGEMENT INC,PO BOX 6028,,GREENVILLE  NC 27835,1316256.0,32110
OFCCONDO,1983,9240,200 Z E ARLINGTON BV,GREENVILLE,CLARK WILLIAM H,CLARK GLORIA E,200 GE ARLINGTON BLVD SUITE L,GREENVILLE  NC 27858,1018170.0,76266
BANKS,1975,9232,300 W FIRST ST,GREENVILLE,STATE EMPLOYEES CREDIT UNION,ATTN ACCOUNTING DEPT,BOX 26807,RALEIGH  NC 27611,2462832.0,27788
OFFICE,1995,9192,704 CROMWELL DR,GREENVILLE,PERRY GRANDCHILDREN LLC,PO BOX 1475,,KINSTON  NC 28503,965091.0,54398
OFFICE,1994,9192,702 CROMWELL DR,GREENVILLE,PERRY GRANDCHILDREN LLC,PO BOX 1475,,KINSTON  NC 28503,933467.0,52503
MEDBLDG,1977,9191,604 MEDICAL DR,GREENVILLE,PCMH MANAGEMENT INC,2100 STANTONSBURG RD,,GREENVILLE  NC 27835,1205621.0,32127
MEDBLDG,2005,9125,1826 W ARLINGTON BV,GREENVILLE,CHS PROPERTIES LLC,1826 W ARLINGTON BLVD,,GREENVILLE  NC 27834,1720855.0,68149
OFFICE,2000,9111,600 LYNNDALE CT,GREENVILLE,PERRYS 1 LLC,PO BOX 1475,,KINSTON  NC 28503,1101177.0,61494
OFFICE,2001,9099,605 LYNNDALE CT,GREENVILLE,PERRYS 1 LLC,PO BOX 1475,,KINSTON  NC 28503,1096958.0,61484
OFFICE,1977,9040,517 W ARLINGTON BV,GREENVILLE,CEQUEL COMMUNICATIONS II LLC,6 CITYPLACE DR.,SUITE 800,ST. LOUIS  MO 63141,965821.0,32131
OFCCONDO,1995,9040,1698 E ARLINGTON BV,GREENVILLE,SOUTHCOURT INVESTORS LLC,1698 E. ARLINGTON BLVD,,GREENVILLE  NC 27858,1031650.0,53847
OFFICE,1982,9000,104 STATON CT,,STATON COURT ASSOCIATES LLC,1230 NE MAYNARD RD,,CARY  NC 27513,425270.0,33407
OFFICE,2005,8995,3208 D CHARLES BV,GREENVILLE,CPK & BMP HOLDINGS LLC,2221 STANTONSBURG RD,,GREENVILLE  NC 27834,1277140.0,68852
MEDCONDO,2000,8984,2090 W ARLINGTON BV,GREENVILLE,GREENVILLE MEDICAL PROPERTIES LLC,PO BOX 985,,MILLERS CREEK  NC 28651,1346312.0,59924
OFFICE,1996,8960,1501 W ARLINGTON BV,GREENVILLE,TIME LAND DEVELOPMENT LLC,PO BOX 6065,,GREENVILLE  NC 27835,1000983.0,56183
BANKS,2004,8918,3600 CHARLES BV,GREENVILLE,WELCOME FEDERAL CREDIT UNION,10810 CHAPEL HILL RD,,MORRISVILLE  NC 27560,2286571.0,54576
CHURCHES,1992,8915,4271 NORTH EDGE RD,AYDEN,ANNOINTED ONES CHURCH OF DELIVERANCE,PO BOX 126,,AYDEN  NC 28513,842850.0,52210
CHURCHES,1982,8908,201 TYSON ST,GREENVILLE,YORK MEMORIAL AME ZION CHURCH,201 TYSON ST,,GREENVILLE  NC 27834,519072.0,17920
OFFICE,2002,8845,1100 CONFERENCE DR,GREENVILLE,SULLIVAN JAMES G ETALS,1100 CONFERENCE DR,,GREENVILLE  NC 27858,1068565.0,62985
OFFICE,1985,8800,313 CLIFTON ST,GREENVILLE,LYNNS PROPERTIES LLC,4016 CINDI LN,,WINTERVILLE  NC 28590,673821.0,74951
OFFICE,1977,8786,105 B E ARLINGTON BV,GREENVILLE,MAHMOUD AND SON LLC,2148 MOXIE LN,,WINTERVILLE  NC 28590,920371.0,92360
OFFICE,2005,8736,620 LYNNDALE CT,GREENVILLE,PERRYS 1 LLC,PO BOX 1475,,KINSTON  NC 28503,1139517.0,61489
MEDBLDG,2004,8726,1006 W H SMITH BV,GREENVILLE,QUADRANGLE PROPERTIES III LLC,1850 W ARLINGTON BLVD,,GREENVILLE  NC 27834,1617098.0,52903
OFFICE,2002,8688,610 LYNNDALE CT,GREENVILLE,PERRYS 1 LLC,PO BOX 1475,,KINSTON  NC 28503,1090514.0,61491
CHURCHES,1998,8625,7227 STANTONSBURG RD,,WORD OF TRUTH ANOINTED MINISTRIES INC THE,7227 STANTONSBURG RD,,FARMVILLE  NC 27828,1007669.0,57664
CHURCHES,1997,8600,1295 MUMFORD RD,GREENVILLE,ST PETERS MISSIONARY BAPTIST CHURCH,1295 MUMFORD RD,,GREENVILLE  NC 27834,1372639.0,05019
OFFICE,1977,8554,115 EASTBROOK DR,GREENVILLE,VJH EASTBROOK PROPERTIES LLC,82 CANAL CT,,CHOCOWINITY  NC 27817,595651.0,32491
OTHERMUNICP,1984,8524,3886 SOUTH MAIN ST,FARMVILLE,FARMVILLE TOWN OF,PO BOX 86,,FARMVILLE  NC 27828,982802.0,01823
OFFICE,1975,8511,112 OAKMONT DR,GREENVILLE,MELVIN JOHN S,MELVIN ANGELA C,8687 REYMONT ST,ORLANDO  FL 32837,784474.0,80677
OFFICE,2002,8498,1805 W ARLINGTON BV,GREENVILLE,GREENVILLE RENTAL PROPERTIES LLC,144 W 2ND ST,,WASHINGTON  NC 27889,1425336.0,79564
OFFICE,2003,8488,1710 A E ARLINGTON BV,GREENVILLE,RENNSPORT MOTORWERKS LLC,PO BOX 1863,,GREENVILLE  NC 27835,1407659.0,67554
OFFICE,2000,8420,2600 MERIDIAN DR,GREENVILLE,HITE JAMES G,2600 MERIDIAN DR,,GREENVILLE  NC 27834,1050675.0,57599
OFFICE,1999,8363,1708 E ARLINGTON BV,GREENVILLE,WAINRIGHT HOLDINGS LLC,3481 SOUTH EVANS ST UNIT A,,GREENVILLE  NC 27834,1104568.0,57813
MEDBLDG,1988,8322,1701 SE GREENVILLE BV,GREENVILLE,UPSIDE REAL ESTATE GROUP LLC,5717 E THOMAS RD STE 100,,PHOENIX  AZ 85251,1882743.0,87415
CHURCHES,1997,8316,2549 NC 102 E,,BEREAN BAPTIST CHURCH,2549 NC 102 HY E,,AYDEN  NC 28513,809181.0,31768
OFFICE,1998,8309,708 CROMWELL DR,GREENVILLE,PERRYS 1 LLC,PO BOX 1475,,KINSTON  NC 28503,932159.0,75958
CHURCHES,1990,8250,6630 NC 43 S,,FAMILY LIFE TABERNACLE PENTECOSTAL HOLINESS CHURCH,6630 NC 43 S,,GREENVILLE  NC 27858,631113.0,49486
OFFICE,1996,8114,214 S PITT ST,GREENVILLE,PITT COUNTY,1717 W 5TH ST,,GREENVILLE  NC 27834,793729.0,04410
CHURCHES,1976,8100,7402 STANTONSBURG RD,,BEACON FREE WILL BAPTIST CH,7397 STANTONSBURG ROAD,,FARMVILLE  NC 27828,699278.0,31799
OFFICE,2000,8099,3740 EVANS ST,GREENVILLE,TAYLOR COMMERCIAL PROP LLC,P O BOX 1158,,GREENVILLE  NC 27835,927021.0,59208
OFFICE,1978,8088,2428 CHARLES BV,GREENVILLE,WILLIAMS INVESTMENT PROPERTIES LLC,100 OAKMONT DR UNIT B,,GREENVILLE  NC 27858,935599.0,30492
CHURCHES,2004,8080,4501 MOBLEYS BRIDGE RD,,WHITE OAK MISSIONARY BAPT CH,P O BOX 580,,GRIMESLAND  NC 27837,1274623.0,60231
MEDBLDG,1986,8010,600 MEDICAL DR,GREENVILLE,PCMH MANAGEMENT INC,PO BOX 6028,,GREENVILLE  NC 27835,1201946.0,32129
MEDBLDG,1990,7977,300 BETHESDA DR,GREENVILLE,SUITE FIVE PARTNERSHIP,300 BETHESDA DR,,GREENVILLE  NC 27834,1723794.0,48243
MEDBLDG,1997,7924,990 JOHNS HOPKINS DR,GREENVILLE,NC MED HOLDINGS LLC,990 JOHNS HOPKINS DR,,GREENVILLE  NC 27834,1394887.0,93624
BANKS,2005,7921,2211 HEMBY LN,GREENVILLE,STATE EMPLOYEES CREDIT UNION,PO BOX 26807,,RALEIGH  NC 27611,3528672.0,63785
CHURCHES,1976,7908,7315 NC 33 E,GRIMESLAND,NORTH CAROLINA CONFERENCE OF THE PENTECOSTAL HOLINESS CHURCH INC,PO BOX 59,,FALCON  NC 28342,560151.0,27138
OFFICE,2002,7878,3535 S MEMORIAL DR,GREENVILLE,WEST HILLS PROPERTIES LLC,PO BOX 2549,,GREENVILLE  NC 27836,1715843.0,39288
OTHERMUNICP,1984,7723,2821 VIRGINIA ST,SIMPSON,SIMPSON RURAL FIRE DEPT INC,2821 VIRGINIA ST,,SIMPSON  NC 27879,849537.0,16080
MEDBLDG,1975,7711,118 OAKMONT DR,GREENVILLE,FINNEGAN HOLDINGS LLC,306 CAMPDEN WY,,GREENVILLE  NC 27858,872021.0,28581
CHURCHES,2001,7704,593 US 64 ALTERNATE W,,ST DELIGHT CHURCH OF GOD IN CHRIST,P O BOX 1304,,BETHEL  NC 27812,1053430.0,59638
CHURCHES,1989,7637,114 FAITH BAPTIST LN,GRIFTON,FAITH BAPTIST CHURCH,PO BOX 88,,AYDEN  NC 28513,831205.0,43778
OFFICE,1990,7608,3015 S MEMORIAL DR,GREENVILLE,MID EAST PROPERTIES LLC,3015 S MEMORIAL DR,,GREENVILLE  NC 27834,816506.0,45515
OFCCONDO,1990,7594,2313 EXECUTIVE CI,GREENVILLE,THE BUNTING FARMS INC,HOPE PROPERTIES OF BUNTING FARMS LLC,815 4 MARLOWE RD,RALEIGH  NC 27609,894401.0,43468
CHURCHES,1995,7531,1300 DICKINSON AV,GREENVILLE,A TOUCH OF GODS PRESENCE MINISTRIES INC,PO BOX 30765,,GREENVILLE  NC 27834,887438.0,19389
OFFICE,1976,7526,226 COMMERCE ST,GREENVILLE,ALDRIDGE JEFFREY S,PO BOX 123,,GREENVILLE  NC 27835,804510.0,26138
COUNTRYCLBS,1985,7525,216 COUNTRY CLUB DR,GREENVILLE,FORBES MILL LLC,500 RED BANKS RD STE C,,GREENVILLE  NC 27858,1543605.0,09058
CHURCHES,1976,7518,5920 OLD TAR RD,,VISION CASTER MINISTRIES INC,5920 OLD TAR RD,,WINTERVILLE  NC 28590,800940.0,31733
DAYCRCNTR,1995,7464,1342 ROUSE RD,,STEPPING STONES INC DBA GREENHOSE PRESCHOOL,1342 ROUSE RD,,GREENVILLE  NC 27858,525285.0,54495
OFFICE,1994,7456,1021 RED BANKS RD,GREENVILLE,COIDAN HOLDINGS LLC,1021 RED BANKS RD,,GREENVILLE  NC 27858,1180368.0,52777
OFFICE,2004,7439,2865 CHARLES BV,GREENVILLE,MVJ PROPERTIES LLC,2865 CHARLES BV,,GREENVILLE  NC 27858,1287546.0,63071
MEDCONDO,2003,7435,2455 EMERALD PL,GREENVILLE,TAMBOSHA HOLDINGS LLC,2455 EMERALD PL,,GREENVILLE  NC 27858,1274527.0,79887
